first_name,middle_name,last_name,sex,dob,email,ohio_ssid,grade_level
Kaden,Maddox,Mendez,M,2009-10-31,kmmendez28@titanacademy.edu,VM5820608,6
Zackery,Davon,Pena,M,2010-01-24,zdpena28@titanacademy.edu,GQ4225788,6
Cheyanne,Riya,Young,F,2010-03-04,cryoung28@titanacademy.edu,LE1855060,6
Jaidyn,Jovanni,Johnson,M,2009-12-15,jjjohnson28@titanacademy.edu,CT4650131,6
Amir,Philip,Jenkins,M,2009-12-15,apjenkins28@titanacademy.edu,ON4554336,6
Ayleen,Kinley,Frank,F,2009-09-29,akfrank28@titanacademy.edu,QG8023828,6
Mohamed,Jabari,Gonzalez,M,2009-10-09,mjgonzalez28@titanacademy.edu,EX1361263,6
Esmeralda,Carina,Martinez,F,2009-12-28,ecmartinez28@titanacademy.edu,ZK5377930,6
Stefan,Zayden,Moreno,M,2010-02-19,szmoreno28@titanacademy.edu,IZ3920302,6
Sydnee,Morgan,Reed,F,2009-12-05,smreed28@titanacademy.edu,MF8221088,6
Scott,Destin,Franklin,M,2010-02-26,sdfranklin28@titanacademy.edu,HB9024850,6
Ernesto,Alvaro,Baker,M,2010-03-15,eabaker28@titanacademy.edu,BG4252878,6
Hanna,Giselle,Leon,F,2009-12-17,hgleon28@titanacademy.edu,LD6750396,6
Angela,Kristen,King,F,2009-11-01,akking28@titanacademy.edu,HZ0849298,6
Curtis,Gunnar,Callahan,M,2010-04-27,cgcallahan28@titanacademy.edu,CK5618381,6
Damien,Mayson,Hall,M,2009-08-20,dmhall28@titanacademy.edu,DH3408045,6
Isis,Leila,Shah,F,2010-06-08,ilshah28@titanacademy.edu,TB4975049,6
Jencarlos,Jovanni,Martinez,M,2009-11-07,jjmartinez28@titanacademy.edu,VN6669845,6
Dorian,Sonny,Sullivan,M,2010-03-16,dssullivan28@titanacademy.edu,WN2316814,6
Peyton,Matteo,Willis,M,2010-02-06,pmwillis28@titanacademy.edu,SC0594677,6
Kimora,Kaylynn,Yates,F,2009-09-06,kkyates28@titanacademy.edu,UV2443088,6
Bruce,Dennis,Hernandez,M,2009-10-16,bdhernandez28@titanacademy.edu,UT7699607,6
Julian,Kareem,Crane,M,2010-01-16,jkcrane28@titanacademy.edu,OE1279490,6
Tess,June,Rogers,F,2010-02-05,tjrogers28@titanacademy.edu,RC5997811,6
Jose,Jabari,Page,M,2010-04-12,jjpage28@titanacademy.edu,SX0374599,6
Ernest,Randall,Jones,M,2009-08-23,erjones28@titanacademy.edu,VV9849007,6
Adele,Lydia,Cook,F,2010-04-14,alcook28@titanacademy.edu,LR1907120,6
Bianca,Tori,Lawrence,F,2009-09-30,btlawrence28@titanacademy.edu,SJ1189918,6
Hank,Neil,Smith,M,2010-05-19,hnsmith28@titanacademy.edu,FP5826771,6
Jose,Bentlee,Morgan,M,2010-05-20,jbmorgan28@titanacademy.edu,OP2748856,6
Jalen,Andy,Gregory,M,2009-12-18,jagregory28@titanacademy.edu,HR8406723,6
Abbigail,Jillian,Rios,F,2010-02-19,ajrios28@titanacademy.edu,KO6092244,6
Elizabeth,Kai,Garrett,F,2009-08-14,ekgarrett28@titanacademy.edu,JX7845824,6
Rey,Davin,Stephens,M,2010-04-12,rdstephens28@titanacademy.edu,NZ0926526,6
Sheldon,Reagan,Marshall,M,2010-04-10,srmarshall28@titanacademy.edu,MP3632325,6
Wilson,Casey,Rodriguez,M,2010-05-24,wcrodriguez28@titanacademy.edu,WC7592152,6
Adalynn,Lola,Smith,F,2009-08-28,alsmith28@titanacademy.edu,IJ3705960,6
Xzavier,Israel,Garrett,M,2009-09-26,xigarrett28@titanacademy.edu,SQ6408368,6
Beatrice,Skylar,Cohen,F,2009-09-08,bscohen28@titanacademy.edu,AD0733623,6
Janae,Cecelia,Cortez,F,2010-06-21,jccortez28@titanacademy.edu,ZM4709542,6
Anabella,Dania,Weber,F,2009-10-15,adweber28@titanacademy.edu,JP4655592,6
Eloise,Kaelynn,Banks,F,2009-08-22,ekbanks28@titanacademy.edu,DG5720361,6
Charli,Stella,Herrera,F,2009-10-17,csherrera28@titanacademy.edu,UY2566225,6
Kole,Rowen,Mitchell,M,2009-12-05,krmitchell28@titanacademy.edu,WF1474323,6
Valentino,Sincere,Davenport,M,2010-03-20,vsdavenport28@titanacademy.edu,NS5562060,6
Brooke,Ally,Morales,F,2010-05-29,bamorales28@titanacademy.edu,AH9040714,6
Bronson,Allen,Brooks,M,2010-05-16,babrooks28@titanacademy.edu,TM4194711,6
Jordynn,Willa,Pierce,F,2010-04-28,jwpierce28@titanacademy.edu,BS5223873,6
Jaidyn,Karly,Powell,F,2009-08-26,jkpowell28@titanacademy.edu,PB3175765,6
Mekhi,Jackson,Hodges,M,2010-04-18,mjhodges28@titanacademy.edu,RQ9067305,6
Elias,Ibrahim,Molina,M,2010-02-03,eimolina28@titanacademy.edu,PG2353085,6
Brendon,Zayden,Shaw,M,2010-01-25,bzshaw28@titanacademy.edu,SV6600727,6
Kamila,Leslie,Atkinson,F,2009-09-10,klatkinson28@titanacademy.edu,ZG3320548,6
Liam,Landen,Ellis,M,2009-10-31,llellis28@titanacademy.edu,GV0605442,6
Eloise,Arielle,Anderson,F,2010-01-29,eaanderson28@titanacademy.edu,IO0815525,6
Marc,Jax,Wilson,M,2009-10-07,mjwilson28@titanacademy.edu,DZ4025526,6
Rashad,Alfonso,Carpenter,M,2009-09-01,racarpenter28@titanacademy.edu,ZL7120087,6
Luciano,Erick,Cooper,M,2010-01-24,lecooper28@titanacademy.edu,SE5468306,6
Alice,Eloise,Watson,F,2010-01-01,aewatson28@titanacademy.edu,LR2916546,6
Van,Damon,Brandt,M,2010-03-03,vdbrandt28@titanacademy.edu,QK4514339,6
Nicholas,Isaac,Castillo,M,2010-03-18,nicastillo28@titanacademy.edu,SV2994245,6
Leilani,Rylan,Alvarado,F,2010-09-22,lralvarado28@titanacademy.edu,WT4709685,7
Christine,Tania,Monroe,F,2010-12-24,ctmonroe28@titanacademy.edu,IY6026574,7
Colin,Jaron,Sanchez,M,2010-12-23,cjsanchez28@titanacademy.edu,YA7190833,7
Micaela,Kassidy,Collins,F,2011-06-29,mkcollins28@titanacademy.edu,QH4860621,7
Ezekiel,Ben,Davis,M,2011-07-17,ebdavis28@titanacademy.edu,NJ0383140,7
Amya,Quinn,Rodriguez,F,2011-02-12,aqrodriguez28@titanacademy.edu,EX2513731,7
Damaris,Dulce,Thomas,F,2010-12-26,ddthomas28@titanacademy.edu,QZ6951893,7
Natalie,Makenna,Jimenez,F,2011-07-30,nmjimenez28@titanacademy.edu,VQ0946439,7
Clara,Josie,Hinton,F,2011-03-23,cjhinton28@titanacademy.edu,QG1316372,7
Elsie,Rachael,Juarez,F,2010-08-10,erjuarez28@titanacademy.edu,NE6685369,7
Michelle,Marlene,Wall,F,2010-09-17,mmwall28@titanacademy.edu,OI5788890,7
Evelynn,Rachel,Tate,F,2011-03-06,ertate28@titanacademy.edu,IF2574006,7
Alexis,Annika,Delacruz,F,2010-10-20,aadelacruz28@titanacademy.edu,RB0665134,7
Marcelo,Mario,Alexander,M,2011-01-27,mmalexander28@titanacademy.edu,QA3416936,7
Jude,Colby,Jacobs,M,2011-01-12,jcjacobs28@titanacademy.edu,PL3439784,7
Sadie,Diamond,Garcia,F,2011-03-11,sdgarcia28@titanacademy.edu,ON6235365,7
Destiny,Scarlet,Brooks,F,2010-12-15,dsbrooks28@titanacademy.edu,QC3376564,7
Guillermo,Yadiel,Coleman,M,2011-06-23,gycoleman28@titanacademy.edu,IN4447667,7
Alayna,Nylah,White,F,2010-08-02,anwhite28@titanacademy.edu,ZJ9439626,7
Cannon,Leonel,Myers,M,2010-12-05,clmyers28@titanacademy.edu,AE5384389,7
Karlie,Isabell,Young,F,2011-02-11,kiyoung28@titanacademy.edu,VG9760152,7
Lina,Jamie,Smith,F,2011-02-28,ljsmith28@titanacademy.edu,JA9299525,7
Kobe,Felipe,Stevenson,M,2010-08-22,kfstevenson28@titanacademy.edu,IP7484261,7
Jaiden,Camilo,Bryant,M,2011-05-01,jcbryant28@titanacademy.edu,FH9524676,7
Rosa,Dylan,Barrett,F,2010-08-15,rdbarrett28@titanacademy.edu,PH9253072,7
Jasmin,Laila,Prince,F,2011-05-26,jlprince28@titanacademy.edu,RU0776264,7
Madyson,Maria,Ramos,F,2011-06-02,mmramos28@titanacademy.edu,XB0715133,7
Douglas,Porter,Mason,M,2011-05-04,dpmason28@titanacademy.edu,HN7314622,7
Kayson,Miles,Evans,M,2011-05-14,kmevans28@titanacademy.edu,UW3259306,7
Maximo,Case,Chavez,M,2011-01-06,mcchavez28@titanacademy.edu,EB4534197,7
Jeffery,Julian,Clayton,M,2010-09-23,jjclayton28@titanacademy.edu,DE9504213,7
Kira,Isabelle,Montoya,F,2011-01-03,kimontoya28@titanacademy.edu,BA7289182,7
Catalina,Natalya,Boyd,F,2011-03-09,cnboyd28@titanacademy.edu,YR4719845,7
Callie,Kasey,Rivas,F,2011-04-23,ckrivas28@titanacademy.edu,DU1807886,7
Dylan,Miracle,Daniel,F,2011-06-01,dmdaniel28@titanacademy.edu,GD7297393,7
Selena,Jakayla,Williams,F,2011-01-04,sjwilliams28@titanacademy.edu,ZT0380070,7
Kaiden,Jude,Hughes,M,2010-11-23,kjhughes28@titanacademy.edu,JC9345827,7
Raquel,Meadow,Moody,F,2011-04-10,rmmoody28@titanacademy.edu,FL3157188,7
Emmanuel,Nicholas,Martin,M,2010-09-02,enmartin28@titanacademy.edu,QX4758518,7
Lia,Cameron,Brown,F,2011-03-03,lcbrown28@titanacademy.edu,LT5738774,7
Brian,Rolando,Evans,M,2011-02-05,brevans28@titanacademy.edu,HW9442453,7
Ashton,Diego,Harris,M,2011-01-09,adharris28@titanacademy.edu,YN6568837,7
Rowen,Payton,Brady,M,2011-03-25,rpbrady28@titanacademy.edu,NR5325011,7
Myles,Jesus,Hall,M,2011-07-02,mjhall28@titanacademy.edu,ES7302635,7
Eli,Hudson,Davis,M,2010-12-06,ehdavis28@titanacademy.edu,PC3589664,7
Amare,Melvin,Bailey,M,2011-04-26,ambailey28@titanacademy.edu,YP6637068,7
Irene,Andrea,White,F,2011-03-28,iawhite28@titanacademy.edu,CB6933337,7
Aliyah,Paityn,Beck,F,2011-02-25,apbeck28@titanacademy.edu,TB2258486,7
Sydney,Emmalyn,Harris,F,2010-08-09,seharris28@titanacademy.edu,RP3480762,7
Robert,Jorge,Medina,M,2010-10-25,rjmedina28@titanacademy.edu,XC1666848,7
Allen,Camryn,Gonzalez,M,2010-08-23,acgonzalez28@titanacademy.edu,EY7737682,7
Crew,Francisco,Clark,M,2010-12-06,cfclark28@titanacademy.edu,VR5872067,7
Beau,Knox,Fernandez,M,2011-07-09,bkfernandez28@titanacademy.edu,UE2681616,7
Saige,Lilyana,Klein,F,2011-07-15,slklein28@titanacademy.edu,JO3095424,7
Adelyn,Livia,Bennett,F,2010-10-14,albennett28@titanacademy.edu,LZ0508017,7
Emily,Esther,Jensen,F,2011-01-14,eejensen28@titanacademy.edu,CM6369193,7
Cameron,Valerie,May,F,2011-06-25,cvmay28@titanacademy.edu,TT8005061,7
Lexie,Aubrie,Evans,F,2010-09-16,laevans28@titanacademy.edu,TR6932679,7
Erika,Destiny,Vaughan,F,2010-09-14,edvaughan28@titanacademy.edu,TG9541131,7
Aurora,Lauryn,Shea,F,2011-04-23,alshea28@titanacademy.edu,QQ7856902,7
Leland,Killian,James,M,2011-07-17,lkjames28@titanacademy.edu,VV2835211,7
Lila,Angela,Brown,F,2011-05-27,labrown28@titanacademy.edu,BJ0433871,7
Leila,Neveah,Kelly,F,2011-07-18,lnkelly28@titanacademy.edu,KS6085051,7
Reina,Sierra,White,F,2010-12-18,rswhite28@titanacademy.edu,DA4500347,7
Heidy,Carina,Young,F,2010-09-24,hcyoung28@titanacademy.edu,WT1601504,7
Sadie,Hadassah,Flores,F,2010-09-23,shflores28@titanacademy.edu,HW8788904,7
Darian,Uriah,Buchanan,M,2011-05-09,dubuchanan28@titanacademy.edu,RW0764915,7
Gabriel,Leonardo,Greer,M,2010-09-06,glgreer28@titanacademy.edu,GH0978162,7
Clark,Jamir,Lee,M,2010-10-14,cjlee28@titanacademy.edu,XQ5730449,7
Elsa,Bria,Hernandez,F,2011-03-21,ebhernandez28@titanacademy.edu,PA3722454,7
Ayanna,Tess,Smith,F,2010-08-28,atsmith28@titanacademy.edu,TV7169461,7
Ivanna,Joselyn,Alexander,F,2011-04-04,ijalexander28@titanacademy.edu,GV3521597,7
Rosalie,Avah,Howard,F,2011-04-03,rahoward28@titanacademy.edu,ON8127210,7
Mason,Menachem,Hayes,M,2011-03-03,mmhayes28@titanacademy.edu,BJ0582716,7
Channing,Elias,Shaw,M,2011-05-27,ceshaw28@titanacademy.edu,CI4948211,7
Antoine,Wesley,Hill,M,2011-05-06,awhill28@titanacademy.edu,HV8676839,7
Izayah,Cortez,Mccarty,M,2011-03-23,icmccarty28@titanacademy.edu,HI1602201,7
Knox,Jordan,Barnes,M,2010-09-19,kjbarnes28@titanacademy.edu,TT4641461,7
Leona,Caitlin,Kelly,F,2011-04-12,lckelly28@titanacademy.edu,PL5742837,7
Haylee,Eileen,Johnson,F,2010-09-08,hejohnson28@titanacademy.edu,QG5316965,7
Kathleen,Dakota,Cabrera,F,2011-04-13,kdcabrera28@titanacademy.edu,VB0801756,7
Nevaeh,Kasey,Tucker,F,2011-03-06,nktucker28@titanacademy.edu,DN2657943,7
Jaxson,Russell,Robinson,M,2011-05-22,jrrobinson28@titanacademy.edu,KS8674765,7
Bianca,Marianna,Stuart,F,2012-01-17,bmstuart28@titanacademy.edu,UJ2607484,8
Jaylin,Anastasia,Foster,F,2012-02-22,jafoster28@titanacademy.edu,UL2022119,8
Aryanna,Natalee,Alvarez,F,2012-05-27,analvarez28@titanacademy.edu,GS7397644,8
Zack,Matthew,Estrada,M,2012-07-16,zmestrada28@titanacademy.edu,HT5899584,8
Joslyn,Abigale,Moore,F,2012-05-30,jamoore28@titanacademy.edu,QP4472601,8
Amari,Marc,Gibson,M,2012-04-30,amgibson28@titanacademy.edu,GQ3535284,8
Hank,Jaron,Carter,M,2012-07-07,hjcarter28@titanacademy.edu,HC4696540,8
Israel,Rex,Caldwell,M,2012-07-31,ircaldwell28@titanacademy.edu,BG9414814,8
Julius,Hassan,Bryant,M,2012-02-21,jhbryant28@titanacademy.edu,WF8509189,8
Kyler,Orion,Richardson,M,2011-08-09,korichardson28@titanacademy.edu,VI4031052,8
Jaslene,Kairi,Jimenez,F,2012-04-19,jkjimenez28@titanacademy.edu,VJ7283798,8
Kali,Ryan,Bailey,F,2011-08-21,krbailey28@titanacademy.edu,VO6038807,8
Adelynn,Audrey,Shepard,F,2012-01-10,aashepard28@titanacademy.edu,LD7615487,8
Daphne,Anne,Stephens,F,2012-02-07,dastephens28@titanacademy.edu,HL2936747,8
Konner,Augustus,Sparks,M,2012-05-06,kasparks28@titanacademy.edu,XX3996482,8
Lisa,Jaylee,Silva,F,2012-06-08,ljsilva28@titanacademy.edu,MA8671704,8
Lathan,Timothy,Hernandez,M,2011-09-08,lthernandez28@titanacademy.edu,FN3194553,8
Alaina,Juliana,Simmons,F,2012-05-06,ajsimmons28@titanacademy.edu,QM2061176,8
Messiah,Keaton,Parker,M,2012-05-10,mkparker28@titanacademy.edu,VQ8039622,8
Shane,Kael,Thompson,M,2012-06-21,skthompson28@titanacademy.edu,SI7863221,8
Jonathon,Alexander,Smith,M,2011-09-29,jasmith28@titanacademy.edu,XS5377959,8
Yaretzi,Sandra,Baxter,F,2012-02-11,ysbaxter28@titanacademy.edu,RK7054989,8
Kenley,Kaylee,Jefferson,F,2011-12-09,kkjefferson28@titanacademy.edu,ZM9357877,8
Willow,Mikayla,Coleman,F,2012-05-09,wmcoleman28@titanacademy.edu,CM5002252,8
Brisa,Jamie,Patterson,F,2011-12-29,bjpatterson28@titanacademy.edu,CP7835767,8
Giovanni,Ari,Walker,M,2011-09-19,gawalker28@titanacademy.edu,YI7315873,8
Khloe,Briella,Ellis,F,2011-12-08,kbellis28@titanacademy.edu,CH0592653,8
Avah,Taylor,Delacruz,F,2012-02-25,atdelacruz28@titanacademy.edu,RU1815616,8
Kellen,Mayson,Maxwell,M,2012-01-02,kmmaxwell28@titanacademy.edu,NN9349158,8
Georgia,Savannah,Wilcox,F,2011-10-01,gswilcox28@titanacademy.edu,BC9368407,8
Khalil,Roman,Warren,M,2012-07-30,krwarren28@titanacademy.edu,XR6900438,8
Raul,Davian,Moyer,M,2011-10-22,rdmoyer28@titanacademy.edu,TP1871241,8
Jewel,Heidy,Martin,F,2012-07-04,jhmartin28@titanacademy.edu,LS6883117,8
Jayson,Samir,Evans,M,2011-11-04,jsevans28@titanacademy.edu,FW7296221,8
Kelly,Teagan,Baker,F,2012-05-13,ktbaker28@titanacademy.edu,AS8197877,8
Nikolai,Caden,Mclean,M,2011-09-16,ncmclean28@titanacademy.edu,PR0331563,8
Franco,Kingsley,Webster,M,2011-10-14,fkwebster28@titanacademy.edu,EP8088159,8
Cruz,Jonah,Fuller,M,2012-01-09,cjfuller28@titanacademy.edu,VD0084753,8
Kiersten,Lorelai,Mcgee,F,2011-11-01,klmcgee28@titanacademy.edu,VW6684018,8
Taraji,Sage,Stevens,F,2011-08-31,tsstevens28@titanacademy.edu,LF0860686,8
Brynlee,Madeleine,Watson,F,2012-03-04,bmwatson28@titanacademy.edu,TT6556931,8
Zane,Michael,Castillo,M,2012-06-08,zmcastillo28@titanacademy.edu,MY7969664,8
Sawyer,Braylon,Hansen,M,2011-09-26,sbhansen28@titanacademy.edu,NK3473488,8
Saniya,Isabela,Rogers,F,2011-09-19,sirogers28@titanacademy.edu,TQ8744839,8
Jair,Caden,Collins,M,2012-07-29,jccollins28@titanacademy.edu,XA6456573,8
Triston,Bridger,Chan,M,2011-12-05,tbchan28@titanacademy.edu,HK7290664,8
Savanna,Miranda,Bullock,F,2012-06-22,smbullock28@titanacademy.edu,TP3553569,8
Roselyn,Celia,Johnson,F,2011-11-27,rcjohnson28@titanacademy.edu,DL5726990,8
Brock,Edwin,Johnson,M,2012-02-18,bejohnson28@titanacademy.edu,TL4957844,8
Zayden,Alvin,Ferguson,M,2011-11-18,zaferguson28@titanacademy.edu,OJ4975516,8
Bode,Leandro,Thomas,M,2012-01-25,blthomas28@titanacademy.edu,MA3658809,8
Dillon,Guillermo,Adkins,M,2011-08-15,dgadkins28@titanacademy.edu,BA8947408,8
Celeste,Myra,Rodriguez,F,2012-05-30,cmrodriguez28@titanacademy.edu,MT7363583,8
Donte,Beckham,Boyd,M,2011-09-08,dbboyd28@titanacademy.edu,VG0464476,8
Alvaro,Johnathan,Vance,M,2012-06-06,ajvance28@titanacademy.edu,IY5530637,8
Izayah,Angel,Carter,M,2011-08-16,iacarter28@titanacademy.edu,FM8573317,8
Adan,Deshawn,Molina,M,2012-07-22,admolina28@titanacademy.edu,WG5068849,8
James,Edwin,Moore,M,2011-08-14,jemoore28@titanacademy.edu,AC6251916,8
Sonia,Emerson,Schmidt,F,2011-10-16,seschmidt28@titanacademy.edu,FP6653692,8
Aedan,Shane,Rivera,M,2011-12-19,asrivera28@titanacademy.edu,MV4783065,8
Laney,Aliyah,Matthews,F,2011-12-15,lamatthews28@titanacademy.edu,NQ7209319,8
Ben,Justin,Hernandez,M,2012-01-25,bjhernandez28@titanacademy.edu,HF7058809,8
Siena,Jaylah,Cortez,F,2012-05-24,sjcortez28@titanacademy.edu,QK9869644,8
Gaige,Jaquan,Green,M,2012-07-21,gjgreen28@titanacademy.edu,WJ4766541,8
Rosemary,Aniya,Cooper,F,2012-07-14,racooper28@titanacademy.edu,GL9529374,8
Allison,Elliana,Everett,F,2012-03-10,aeeverett28@titanacademy.edu,LO6945092,8
Ezra,Judah,Lee,M,2012-05-15,ejlee28@titanacademy.edu,UE9356488,8
Richard,Christopher,Thomas,M,2011-09-26,rcthomas28@titanacademy.edu,QH2470314,8
Serena,Laila,Dillon,F,2011-11-27,sldillon28@titanacademy.edu,OG9446917,8
Rosemary,Hazel,Moore,F,2012-05-25,rhmoore28@titanacademy.edu,UJ7396572,8
Javier,Xavi,White,M,2012-05-20,jxwhite28@titanacademy.edu,SW9971606,8
Abigail,Maddison,Williams,F,2012-04-19,amwilliams28@titanacademy.edu,QQ3774302,8
Nyla,Amari,Smith,F,2012-03-25,nasmith28@titanacademy.edu,QC0929339,8
Alvaro,Hezekiah,Castillo,M,2012-02-24,ahcastillo28@titanacademy.edu,WH6799775,8
Lilia,Jane,Hudson,F,2012-06-07,ljhudson28@titanacademy.edu,RC1498646,8
Tobias,Memphis,Smith,M,2012-05-24,tmsmith28@titanacademy.edu,ZV7266384,8
Abdullah,Elias,Walker,M,2012-05-31,aewalker28@titanacademy.edu,MC9354612,8
Miguel,Emilio,Mcclain,M,2011-08-20,memcclain28@titanacademy.edu,HR2878243,8
Drew,Deacon,Schneider,M,2011-08-24,ddschneider28@titanacademy.edu,HX8388255,8
Maverick,Ryland,Ford,M,2011-12-16,mrford28@titanacademy.edu,TH4343553,8
Michaela,Moriah,Oneal,F,2012-04-21,mmoneal28@titanacademy.edu,GN0319967,8
Yael,Danny,Richard,M,2011-12-10,ydrichard28@titanacademy.edu,KU6068691,8
Iker,Victor,Nixon,M,2012-03-25,ivnixon28@titanacademy.edu,CE0444362,8
