first_name,middle_name,last_name,sex,dob,email,ohio_ssid,grade_level
Konnor,Edison,Barnett,M,2010-12-10,kebarnett28@titanacademy.edu,HM6597482,7
Kole,Levi,Holmes,M,2010-11-10,klholmes28@titanacademy.edu,QK6695003,7
Izaiah,Bentley,Mills,M,2010-10-26,ibmills28@titanacademy.edu,OD4548803,7
Nehemiah,Mohamed,Glover,M,2011-03-04,nmglover28@titanacademy.edu,EW6656471,7
Aaron,Jesse,Vega,M,2011-04-14,ajvega28@titanacademy.edu,JP5036518,7
Clare,Macie,Bennett,F,2010-08-23,cmbennett28@titanacademy.edu,OK6636725,7
Adelaide,Lillian,Martinez,F,2011-07-07,almartinez28@titanacademy.edu,AN3586442,7
Melvin,Deven,Robinson,M,2011-05-14,mdrobinson28@titanacademy.edu,HV4741930,7
Jayvion,Duncan,Chung,M,2010-08-13,jdchung28@titanacademy.edu,FR1903083,7
Xzavier,Kolby,Smith,M,2010-11-18,xksmith28@titanacademy.edu,YO3352278,7
Oscar,Trevor,Smith,M,2011-04-06,otsmith28@titanacademy.edu,TV6812708,7
Damian,Aden,Santiago,M,2009-11-30,dasantiago27@titanacademy.edu,SK3597776,8
Jazlynn,Alyvia,Dawson,F,2009-10-09,jadawson27@titanacademy.edu,TG4032122,8
Marianna,Sadie,Hill,F,2010-03-01,mshill27@titanacademy.edu,NA3973068,8
Niko,Everett,Carter,M,2010-06-30,necarter27@titanacademy.edu,VI9988844,8
Camille,Madalyn,Gonzalez,F,2010-07-16,cmgonzalez27@titanacademy.edu,VF8385838,8
Adelynn,Angie,Clark,F,2010-04-09,aaclark27@titanacademy.edu,RK6882139,8
Hayden,Morgan,James,F,2009-12-28,hmjames27@titanacademy.edu,DH6966307,8
Raiden,Kamryn,Odom,M,2010-01-20,rkodom27@titanacademy.edu,CA6514428,8
Destin,Ryland,Harris,M,2010-01-13,drharris27@titanacademy.edu,RF3699433,8
Juan,Francisco,Young,M,2010-04-13,jfyoung27@titanacademy.edu,RW8308387,8
Cohen,Korbin,Munoz,M,2010-04-09,ckmunoz27@titanacademy.edu,FE9232777,8
Gianna,Norah,Nielsen,F,2010-06-03,gnnielsen27@titanacademy.edu,JK0977793,8
Irene,Kate,Barnes,F,2010-03-29,ikbarnes27@titanacademy.edu,GY3050804,8
Elisabeth,Lexi,Reed,F,2009-10-28,elreed27@titanacademy.edu,YR0812017,8
Curtis,Julien,Pittman,M,2009-11-01,cjpittman27@titanacademy.edu,RX1847484,8
Sanaa,Elena,Adams,F,2009-09-25,seadams27@titanacademy.edu,TR4305742,8
Taliyah,Nola,Jackson,F,2010-06-24,tnjackson27@titanacademy.edu,DA8712763,8
Adeline,Yamileth,Todd,F,2009-11-17,aytodd27@titanacademy.edu,FM1920785,8
Emmitt,Andre,Horton,M,2010-04-09,eahorton27@titanacademy.edu,IW2309500,8
Helena,Aleigha,Barnes,F,2009-09-12,habarnes27@titanacademy.edu,SI2209645,8
Mia,Elise,Price,F,2010-07-28,meprice27@titanacademy.edu,LW1124496,8
Joaquin,Zachery,Casey,M,2010-05-13,jzcasey27@titanacademy.edu,CT1818668,8
Jaydon,Chase,Hancock,M,2009-08-23,jchancock27@titanacademy.edu,EP4273990,8
Jaiden,Sheldon,Day,M,2009-09-11,jsday27@titanacademy.edu,SU5791305,8
Jamari,Tatum,Martin,M,2009-08-28,jtmartin27@titanacademy.edu,HU7554838,8
Kellan,Hugo,Charles,M,2009-08-05,khcharles27@titanacademy.edu,WS1881629,8
Alicia,Cecelia,Mcdonald,F,2010-01-22,acmcdonald27@titanacademy.edu,QI6890126,8
Bailey,Adrien,Martin,M,2009-12-15,bamartin27@titanacademy.edu,PR7048083,8
Nikolas,Mohammed,Patterson,M,2010-02-13,nmpatterson27@titanacademy.edu,KL1793611,8
Sage,Juliana,Gonzalez,F,2009-09-09,sjgonzalez27@titanacademy.edu,BZ1627696,8
Cassidy,Marilyn,Sampson,F,2009-09-22,cmsampson27@titanacademy.edu,KK1907399,8
Jaydan,Crew,Taylor,M,2009-08-23,jctaylor27@titanacademy.edu,SK5479502,8
Ireland,Siena,Castillo,F,2009-08-29,iscastillo27@titanacademy.edu,AV0177590,8
Stephany,Ellie,Steele,F,2010-05-09,sesteele27@titanacademy.edu,VM4231994,8
Rayne,Payten,Miller,F,2010-06-07,rpmiller27@titanacademy.edu,OX9046688,8
Kelsey,Destinee,Wallace,F,2009-11-17,kdwallace27@titanacademy.edu,CO1651708,8
Killian,Timothy,Ware,M,2010-01-23,ktware27@titanacademy.edu,HV2624057,8
Lexi,Sandra,Reid,F,2010-06-18,lsreid27@titanacademy.edu,MQ6018498,8
Madelyn,Paloma,Lee,F,2009-10-04,mplee27@titanacademy.edu,KW2513595,8
Jane,Claudia,Phillips,F,2010-06-17,jcphillips27@titanacademy.edu,AE9352262,8
Dean,Elisha,Madden,M,2009-11-04,demadden27@titanacademy.edu,LX1390218,8
Elisabeth,Evelin,Mejia,F,2009-12-19,eemejia27@titanacademy.edu,TV0874365,8
Anya,Makayla,Lowe,F,2009-09-13,amlowe27@titanacademy.edu,MQ8763781,8
Derrick,Alvaro,Gibson,M,2009-08-25,dagibson27@titanacademy.edu,KV9561060,8
Dylan,Marquis,Pitts,M,2010-04-26,dmpitts27@titanacademy.edu,DF6320768,8
Kaydence,Madalynn,Gonzalez,F,2010-04-28,kmgonzalez27@titanacademy.edu,QD9983179,8
Crew,Vincenzo,King,M,2010-06-04,cvking27@titanacademy.edu,VC5506233,8
Skylar,Efrain,Brown,M,2010-07-24,sebrown27@titanacademy.edu,AD7684082,8
Azaria,Kristina,Gutierrez,F,2009-08-02,akgutierrez27@titanacademy.edu,JT2314817,8
Yesenia,Journee,Carter,F,2010-04-21,yjcarter27@titanacademy.edu,GZ6898034,8
Jadiel,Armani,Blackwell,M,2010-05-24,jablackwell27@titanacademy.edu,TP9281453,8
Bo,Chandler,Smith,M,2010-06-15,bcsmith27@titanacademy.edu,BE5855841,8
Miguel,Seth,Andrade,M,2009-10-04,msandrade27@titanacademy.edu,XX4046181,8
Markus,Emanuel,Thompson,M,2009-11-15,methompson27@titanacademy.edu,OJ3468952,8
Lane,Barrett,Richards,M,2010-04-29,lbrichards27@titanacademy.edu,XD3577114,8
Christian,Jesse,Nunez,M,2010-03-09,cjnunez27@titanacademy.edu,SU6685657,8
Jaylee,Lucille,Jones,F,2010-02-06,jljones27@titanacademy.edu,TW3536832,8
Allison,Vivian,Brown,F,2010-01-02,avbrown27@titanacademy.edu,SO6903703,8
Hezekiah,Leandro,Mckinney,M,2010-03-11,hlmckinney27@titanacademy.edu,IV0669541,8
Beatrice,Zariah,Brown,F,2009-08-09,bzbrown27@titanacademy.edu,YJ4304218,8
Chaya,Kinley,Watkins,F,2010-01-18,ckwatkins27@titanacademy.edu,RO1404631,8
Robert,August,Macdonald,M,2009-09-29,ramacdonald27@titanacademy.edu,XB8296172,8
Savanna,Destiny,Mahoney,F,2010-07-11,sdmahoney27@titanacademy.edu,EO0063659,8
Isabelle,Patience,Aguilar,F,2010-07-10,ipaguilar27@titanacademy.edu,RG2914882,8
Sherlyn,Jazlyn,Mathis,F,2010-04-20,sjmathis27@titanacademy.edu,WT5659219,8
Bailey,Mary,Parker,F,2010-01-28,bmparker27@titanacademy.edu,XY6023156,8
Lisa,Abigale,Miller,F,2009-08-25,lamiller27@titanacademy.edu,VY5067055,8
Elijah,Jasper,Stevens,M,2009-09-09,ejstevens27@titanacademy.edu,RU8888126,8
Jaxon,Kyler,Garrett,M,2010-04-07,jkgarrett27@titanacademy.edu,BJ2469138,8
Cheyenne,Micah,Flores,F,2010-01-30,cmflores27@titanacademy.edu,CJ6944254,8
Rylee,Kamryn,Gross,F,2010-01-27,rkgross27@titanacademy.edu,LQ0304738,8
Jazmyn,Zuri,Sanchez,F,2010-05-05,jzsanchez27@titanacademy.edu,AA0142184,8
Sariah,Lily,Brewer,F,2010-02-08,slbrewer27@titanacademy.edu,EL2718061,8
Leighton,River,Fisher,F,2010-07-07,lrfisher27@titanacademy.edu,OL4641735,8
Menachem,Bryant,Caldwell,M,2009-12-18,mbcaldwell27@titanacademy.edu,TW2584749,8
Frances,Morgan,Jackson,F,2009-08-01,fmjackson27@titanacademy.edu,BA9904947,8
Lisa,Elaina,Lewis,F,2009-10-18,lelewis27@titanacademy.edu,WJ8509642,8
Penelope,Kennedi,Walker,F,2009-11-25,pkwalker27@titanacademy.edu,JC5111101,8
Brody,Andre,Brown,M,2010-01-29,babrown27@titanacademy.edu,QN5024872,8
Kaeden,Roberto,Garrison,M,2010-01-04,krgarrison27@titanacademy.edu,PF8645281,8
Rex,Paxton,Davis,M,2010-01-28,rpdavis27@titanacademy.edu,LR8170126,8
Ean,Sullivan,Shannon,M,2010-01-20,esshannon27@titanacademy.edu,TA6998495,8
Walker,Dashawn,Parker,M,2009-10-10,wdparker27@titanacademy.edu,KK9179387,8
